Final_Approximation,H_L1,H_L2,H_L3
1.096649999999999991e+01,1.139999999999998792e-01,1.524999999999998579e-01,-1.019999999999985363e-01
1.048475000000000001e+01,2.029999999999994031e-01,-1.574999999999988631e-01,5.999999999999978684e-01
1.125549999999999962e+01,8.299999999999929656e-02,-2.269999999999985363e-01,1.829999999999998295e-01
1.044112499999999955e+01,4.600000000000026290e-02,-2.764999999999986358e-01,-1.025249999999999773e+00
1.147925000000000040e+01,8.199999999999985079e-02,-5.185000000000012932e-01,1.408999999999998920e+00
1.293262499999999982e+01,2.089999999999996305e-01,1.465000000000014069e-01,-1.122499999999995168e-01
1.306024999999999991e+01,1.280000000000001137e-01,-2.259999999999999787e-01,4.140000000000014779e-01
1.332975000000000065e+01,-4.300000000000014921e-02,-2.004999999999999005e-01,-1.150000000000002132e-01
1.286762500000000031e+01,8.199999999999985079e-02,-1.864999999999996660e-01,2.012500000000017053e-01
1.355549999999999855e+01,7.000000000000028422e-02,-3.049999999999997158e-01,2.975000000000012079e-01
1.371549999999999869e+01,9.899999999999931077e-02,-5.550000000000032685e-02,4.499999999999992895e-02
1.321487499999999926e+01,1.509999999999998010e-01,-1.615000000000001990e-01,-3.662500000000008527e-01
1.276637500000000003e+01,1.449999999999995737e-01,-3.049999999999997158e-02,-7.272499999999997300e-01
1.066012500000000074e+01,5.399999999999938183e-02,1.860000000000008313e-01,-8.567499999999999005e-01
8.951374999999998749e+00,5.100000000000015632e-02,3.429999999999999716e-01,-5.612499999999993605e-01
7.770249999999998991e+00,5.999999999999960920e-02,1.564999999999994174e-01,-8.459999999999991971e-01
6.262624999999999886e+00,1.099999999999923261e-02,-1.360000000000001208e-01,-9.732500000000001705e-01
4.014124999999999943e+00,1.170000000000008811e-01,1.350000000000051159e-02,-1.126749999999999474e+00
2.785874999999999879e+00,1.089999999999999858e-01,-3.455000000000003624e-01,-1.682500000000000107e-01
2.139749999999999819e+00,-4.600000000000026290e-02,8.449999999999935341e-02,-1.449999999999999956e+00
5.976250000000000728e-01,-4.699999999999997513e-01,-1.364999999999998437e-01,-3.027499999999999636e-01
1.021749999999999936e+00,1.970000000000000639e-01,3.750000000000000000e-01,7.184999999999998055e-01
1.456125000000000114e+00,1.589999999999998082e-01,1.105000000000000426e-01,4.624999999999990230e-02
