Final_Approximation,H_L1,H_L2,H_L3,H_L4
3.806062499999999904e+00,7.199999999999917577e-02,4.560000000000004050e-01,-3.910000000000000142e-01,1.828750000000001208e-01
5.321374999999999744e+00,1.390000000000002345e-01,5.024999999999995026e-01,-7.249999999999978684e-02,3.353500000000000369e+00
7.954500000000000348e+00,1.209999999999995524e-01,8.300000000000000711e-01,-7.699999999999818101e-02,1.590999999999999304e+00
7.633187500000000014e+00,5.900000000000016342e-02,9.344999999999998863e-01,-6.632500000000005613e-01,-4.284625000000001016e+00
6.826187499999999631e+00,-6.400000000000005684e-02,1.073499999999999233e+00,9.024999999999927525e-02,-2.257374999999998799e+00
7.086875000000000924e+00,-8.099999999999951683e-02,-7.445000000000003837e-01,-7.677500000000003766e-01,-5.022500000000009734e-01
8.722250000000000725e+00,-1.209999999999995524e-01,-7.300000000000004263e-01,1.909999999999998366e-01,2.699500000000000455e+00
8.281749999999998835e+00,7.599999999999962341e-02,-5.660000000000007248e-01,-1.832500000000010232e-01,-1.069499999999999673e+00
7.775999999999999801e+00,8.499999999999996447e-02,-7.479999999999975557e-01,1.118500000000000050e+00,-6.147500000000007958e-01
4.636562500000000142e+00,1.580000000000003624e-01,-4.939999999999997726e-01,6.962500000000000355e-01,-2.390375000000000583e+00
2.140249999999999986e+00,2.039999999999997371e-01,1.715000000000001634e+00,-4.374999999999928946e-02,9.544999999999996820e-01
6.688874999999999460e+00,2.919999999999998153e-01,3.680000000000021032e-01,1.857500000000005258e-01,1.208999999999999631e+00
9.892125000000000057e+00,1.120000000000000995e-01,-2.289999999999992042e-01,2.164999999999999147e-01,1.070249999999999702e+00
1.221106250000000060e+01,8.399999999999963052e-02,2.609999999999992326e-01,-6.000000000000227374e-03,8.543749999999974420e-01
1.257531250000000078e+01,1.280000000000001137e-01,-4.535000000000000142e-01,6.317499999999984794e-01,-3.113750000000017337e-01
1.159781249999999986e+01,2.469999999999989981e-01,3.920000000000012363e-01,-4.749999999999943157e-02,-1.459375000000001421e+00
7.844375000000000320e+00,1.670000000000015916e-01,6.720000000000005969e-01,4.744999999999990337e-01,-3.832250000000000156e+00
5.914187499999999709e+00,1.560000000000005826e-01,1.709999999999993747e-01,1.633499999999999730e+00,-2.808749999999999858e-01
5.495312499999999822e+00,1.150000000000002132e-01,1.335499999999999687e+00,1.615000000000001990e-01,-1.193749999999997868e-01
4.221187500000000092e+00,1.200000000000045475e-02,1.015500000000002956e+00,6.317500000000020322e-01,-1.007875000000000298e+00
3.452437499999999826e+00,-4.299999999999926104e-02,5.499999999999971578e-01,2.432499999999997442e-01,-7.387500000000013500e-02
1.053625000000000034e+00,-1.379999999999999005e-01,-1.033499999999996533e+00,-1.434999999999998721e+00,-5.570000000000000506e-01
8.139374999999999805e-01,-7.699999999999995737e-02,-3.197500000000001563e+00,-6.241499999999998494e+00,5.162500000000003197e-02
3.237312499999999815e+00,-5.700000000000038369e-02,-1.158500000000000085e+00,4.132999999999999119e+00,1.314375000000000071e+00
6.099187500000000206e+00,-2.299999999999968736e-02,-1.293499999999999872e+00,-1.137499999999995737e-01,3.592624999999999957e+00
9.396249999999998437e+00,-1.669999999999998153e-01,3.710000000000004405e-01,5.722500000000039222e-01,-1.781249999999998224e+00
6.127437500000000092e+00,-3.000000000000113687e-02,-4.849999999999994316e-01,-1.000000000000156319e-02,-1.380625000000000213e+00
5.358374999999999666e+00,5.599999999999916156e-02,1.680999999999999162e+00,-2.104999999999996874e-01,-7.140000000000004121e-01
5.402562500000000156e+00,9.999999999994457767e-04,1.469999999999984652e-01,1.283000000000001251e+00,4.678750000000002629e-01
7.429999999999999716e+00,4.700000000000059686e-02,-3.524999999999991473e-01,6.522500000000022169e-01,1.142250000000000654e+00
7.404375000000000817e+00,8.000000000000007105e-03,-1.004500000000000171e+00,-2.425249999999998352e+00,-2.418250000000002231e+00
5.323375000000000412e+00,-9.300000000000085976e-02,-9.899999999999984368e-01,-4.062750000000001194e+00,7.990000000000003766e-01
5.853125000000000355e+00,-2.719999999999993534e-01,-3.609999999999997655e-01,4.107500000000001705e-01,3.990000000000000213e-01
6.201062500000000810e+00,-1.289999999999995595e-01,9.754999999999984794e-01,1.172000000000000597e+00,-4.323749999999995097e-01
6.081250000000000711e+00,1.110000000000006537e-01,6.635000000000008669e-01,1.669000000000000483e+00,-2.864999999999993108e-01
